seed,difficulty,instruction,text_input,prompt,gold_label,target_color,target_shape,target_marker,num_records
1000,easy,Count the entries that are yellow triangles. Respond with a number only.,"blue | circle | 0
blue | triangle | 1
blue | triangle | 1
green | circle | 0
yellow | square | 1
red | circle | 1
blue | circle | 1
blue | square | 1
green | square | 1
yellow | circle | 0
blue | square | 1
red | square | 0
green | circle | 0
blue | circle | 1
yellow | triangle | 0
blue | triangle | 1
blue | circle | 0",2,blue,circle,1,17
3000,hard,Count the entries that are blue squares with marker=0. Respond with a number only.,"yellow | square | 1
blue | circle | 0
yellow | triangle | 1
yellow | square | 1
green | circle | 1
blue | circle | 1
blue | square | 0
blue | square | 0
yellow | triangle | 1
green | circle | 1
blue | square | 1
blue | square | 1
green | circle | 1
green | square | 0
yellow | square | 0
blue | triangle | 0
green | circle | 0
yellow | triangle | 0
blue | triangle | 1
blue | square | 0
yellow | circle | 0
blue | triangle | 0
blue | circle | 1
blue | square | 0
blue | triangle | 1
blue | circle | 1","Count the entries that are blue squares with marker=0. Respond with a number only.

yellow | square | 1
blue | circle | 0
yellow | triangle | 1
yellow | square | 1
green | circle | 1
blue | circle | 1
blue | square | 0
blue | square | 0
yellow | triangle | 1
green | circle | 1
blue | square | 1
blue | square | 1
green | circle | 1
green | square | 0
yellow | square | 0
blue | triangle | 0
green | circle | 0
yellow | triangle | 0
blue | triangle | 1
blue | square | 0
yellow | circle | 0
blue | triangle | 0
blue | circle | 1
blue | square | 0
blue | triangle | 1
blue | circle | 1",4,blue,square,0,26
3001,hard,Count the entries that are green triangles with marker=1. Respond with a number only.,"green | triangle | 1
blue | triangle | 0
yellow | triangle | 0
green | square | 0
green | square | 0
red | circle | 0
blue | triangle | 1
green | circle | 1
green | triangle | 1
blue | square | 0
red | circle | 0
green | circle | 1
yellow | triangle | 0
green | triangle | 1
red | triangle | 1
green | triangle | 1
green | triangle | 0
green | circle | 1
green | square | 1
green | triangle | 0
red | triangle | 0
green | triangle | 0
green | square | 1
green | square | 0","Count the entries that are green triangles with marker=1. Respond with a number only.

green | triangle | 1
blue | triangle | 0
yellow | triangle | 0
green | square | 0
green | square | 0
red | circle | 0
blue | triangle | 1
green | circle | 1
green | triangle | 1
blue | square | 0
red | circle | 0
green | circle | 1
yellow | triangle | 0
green | triangle | 1
red | triangle | 1
green | triangle | 1
green | triangle | 0
green | circle | 1
green | square | 1
green | triangle | 0
red | triangle | 0
green | triangle | 0
green | square | 1
green | square | 0",4,green,triangle,1,24
3002,hard,Count the entries that are blue triangles with marker=1. Respond with a number only.,"blue | triangle | 0
blue | circle | 1
green | square | 1
red | triangle | 1
blue | circle | 0
red | square | 1
blue | circle | 0
yellow | square | 0
green | triangle | 1
blue | triangle | 0
green | square | 0
yellow | square | 1
blue | triangle | 0
green | triangle | 0
green | triangle | 0
blue | triangle | 1
green | circle | 0
red | square | 1
yellow | triangle | 1
green | square | 1
blue | square | 1
blue | triangle | 1","Count the entries that are blue triangles with marker=1. Respond with a number only.

blue | triangle | 0
blue | circle | 1
green | square | 1
red | triangle | 1
blue | circle | 0
red | square | 1
blue | circle | 0
yellow | square | 0
green | triangle | 1
blue | triangle | 0
green | square | 0
yellow | square | 1
blue | triangle | 0
green | triangle | 0
green | triangle | 0
blue | triangle | 1
green | circle | 0
red | square | 1
yellow | triangle | 1
green | square | 1
blue | square | 1
blue | triangle | 1",2,blue,triangle,1,22
3003,hard,Count the entries that are yellow triangles with marker=0. Respond with a number only.,"yellow | triangle | 0
yellow | triangle | 0
green | triangle | 0
red | triangle | 0
green | circle | 0
yellow | triangle | 1
yellow | square | 0
red | circle | 0
yellow | circle | 0
yellow | triangle | 0
green | square | 0
yellow | triangle | 1
yellow | circle | 0
yellow | triangle | 0
yellow | triangle | 0
yellow | square | 1
red | circle | 1
red | circle | 1
yellow | circle | 1
yellow | triangle | 0
red | triangle | 0
red | circle | 0
blue | triangle | 1
red | circle | 1
yellow | circle | 0
red | square | 1","Count the entries that are yellow triangles with marker=0. Respond with a number only.

yellow | triangle | 0
yellow | triangle | 0
green | triangle | 0
red | triangle | 0
green | circle | 0
yellow | triangle | 1
yellow | square | 0
red | circle | 0
yellow | circle | 0
yellow | triangle | 0
green | square | 0
yellow | triangle | 1
yellow | circle | 0
yellow | triangle | 0
yellow | triangle | 0
yellow | square | 1
red | circle | 1
red | circle | 1
yellow | circle | 1
yellow | triangle | 0
red | triangle | 0
red | circle | 0
blue | triangle | 1
red | circle | 1
yellow | circle | 0
red | square | 1",6,yellow,triangle,0,26
3004,hard,Count the entries that are yellow squares with marker=0. Respond with a number only.,"blue | square | 0
red | square | 1
yellow | square | 1
red | circle | 1
blue | triangle | 0
yellow | triangle | 0
green | square | 0
blue | triangle | 1
yellow | triangle | 0
blue | square | 0
green | square | 1
blue | triangle | 0
yellow | circle | 0
blue | square | 0
blue | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
yellow | square | 0
blue | triangle | 1
red | triangle | 1
yellow | square | 0
yellow | circle | 1","Count the entries that are yellow squares with marker=0. Respond with a number only.

blue | square | 0
red | square | 1
yellow | square | 1
red | circle | 1
blue | triangle | 0
yellow | triangle | 0
green | square | 0
blue | triangle | 1
yellow | triangle | 0
blue | square | 0
green | square | 1
blue | triangle | 0
yellow | circle | 0
blue | square | 0
blue | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
yellow | square | 0
blue | triangle | 1
red | triangle | 1
yellow | square | 0
yellow | circle | 1",2,yellow,square,0,23
3005,hard,Count the entries that are red squares with marker=1. Respond with a number only.,"blue | square | 1
blue | triangle | 1
red | square | 0
red | square | 1
yellow | square | 1
red | square | 1
green | triangle | 0
red | circle | 1
red | triangle | 0
green | square | 1
yellow | triangle | 0
yellow | square | 1
blue | circle | 1
green | square | 1
red | square | 0
blue | square | 0
green | square | 1
yellow | circle | 0
red | square | 1
yellow | square | 1
red | triangle | 1
blue | triangle | 1
blue | triangle | 0
red | square | 0
yellow | triangle | 0
blue | square | 1
red | circle | 0
blue | circle | 0
green | circle | 1","Count the entries that are red squares with marker=1. Respond with a number only.

blue | square | 1
blue | triangle | 1
red | square | 0
red | square | 1
yellow | square | 1
red | square | 1
green | triangle | 0
red | circle | 1
red | triangle | 0
green | square | 1
yellow | triangle | 0
yellow | square | 1
blue | circle | 1
green | square | 1
red | square | 0
blue | square | 0
green | square | 1
yellow | circle | 0
red | square | 1
yellow | square | 1
red | triangle | 1
blue | triangle | 1
blue | triangle | 0
red | square | 0
yellow | triangle | 0
blue | square | 1
red | circle | 0
blue | circle | 0
green | circle | 1",3,red,square,1,29
3006,hard,Count the entries that are red triangles with marker=1. Respond with a number only.,"blue | triangle | 1
yellow | triangle | 1
green | circle | 0
green | square | 1
red | circle | 0
red | triangle | 0
green | square | 1
red | triangle | 0
red | triangle | 1
green | triangle | 1
red | square | 1
red | triangle | 1
yellow | triangle | 0
yellow | square | 0
red | triangle | 0
red | circle | 0
green | circle | 0
red | triangle | 1
red | square | 0
blue | square | 0
green | triangle | 1
red | triangle | 1
yellow | triangle | 1
red | square | 1
yellow | square | 1
red | circle | 1
blue | triangle | 1
red | triangle | 0
yellow | triangle | 1
red | circle | 1","Count the entries that are red triangles with marker=1. Respond with a number only.

blue | triangle | 1
yellow | triangle | 1
green | circle | 0
green | square | 1
red | circle | 0
red | triangle | 0
green | square | 1
red | triangle | 0
red | triangle | 1
green | triangle | 1
red | square | 1
red | triangle | 1
yellow | triangle | 0
yellow | square | 0
red | triangle | 0
red | circle | 0
green | circle | 0
red | triangle | 1
red | square | 0
blue | square | 0
green | triangle | 1
red | triangle | 1
yellow | triangle | 1
red | square | 1
yellow | square | 1
red | circle | 1
blue | triangle | 1
red | triangle | 0
yellow | triangle | 1
red | circle | 1",4,red,triangle,1,30
3007,hard,Count the entries that are green squares with marker=1. Respond with a number only.,"blue | square | 1
green | square | 0
red | triangle | 0
red | square | 0
blue | square | 1
red | triangle | 0
red | square | 0
green | square | 0
yellow | circle | 0
green | triangle | 0
yellow | circle | 0
yellow | circle | 0
blue | circle | 1
green | square | 1
green | circle | 1
red | circle | 1
red | square | 1
red | square | 1
green | square | 1
green | triangle | 1
green | square | 0
yellow | triangle | 1
yellow | square | 0
green | circle | 1
green | square | 1
yellow | circle | 1
green | circle | 0
green | square | 0","Count the entries that are green squares with marker=1. Respond with a number only.

blue | square | 1
green | square | 0
red | triangle | 0
red | square | 0
blue | square | 1
red | triangle | 0
red | square | 0
green | square | 0
yellow | circle | 0
green | triangle | 0
yellow | circle | 0
yellow | circle | 0
blue | circle | 1
green | square | 1
green | circle | 1
red | circle | 1
red | square | 1
red | square | 1
green | square | 1
green | triangle | 1
green | square | 0
yellow | triangle | 1
yellow | square | 0
green | circle | 1
green | square | 1
yellow | circle | 1
green | circle | 0
green | square | 0",3,green,square,1,28
3008,hard,Count the entries that are green squares with marker=0. Respond with a number only.,"red | triangle | 1
green | triangle | 0
red | square | 0
green | triangle | 0
green | square | 0
green | square | 1
yellow | triangle | 0
red | square | 0
yellow | triangle | 1
green | circle | 1
green | square | 0
yellow | circle | 0
yellow | square | 1
yellow | triangle | 0
green | circle | 0
green | square | 0
green | square | 1
green | square | 0
green | square | 0
green | circle | 0
blue | square | 0
red | circle | 1
yellow | circle | 1
yellow | triangle | 1","Count the entries that are green squares with marker=0. Respond with a number only.

red | triangle | 1
green | triangle | 0
red | square | 0
green | triangle | 0
green | square | 0
green | square | 1
yellow | triangle | 0
red | square | 0
yellow | triangle | 1
green | circle | 1
green | square | 0
yellow | circle | 0
yellow | square | 1
yellow | triangle | 0
green | circle | 0
green | square | 0
green | square | 1
green | square | 0
green | square | 0
green | circle | 0
blue | square | 0
red | circle | 1
yellow | circle | 1
yellow | triangle | 1",5,green,square,0,24
3009,hard,Count the entries that are yellow triangles with marker=1. Respond with a number only.,"blue | triangle | 0
green | circle | 1
yellow | triangle | 1
red | circle | 0
red | triangle | 0
yellow | triangle | 1
yellow | square | 0
yellow | square | 1
yellow | circle | 1
yellow | triangle | 1
yellow | triangle | 1
blue | circle | 0
yellow | triangle | 0
yellow | circle | 1
green | square | 1
red | triangle | 1
red | triangle | 0
yellow | circle | 1
yellow | triangle | 1
red | circle | 1
yellow | square | 0
yellow | triangle | 0
yellow | triangle | 0","Count the entries that are yellow triangles with marker=1. Respond with a number only.

blue | triangle | 0
green | circle | 1
yellow | triangle | 1
red | circle | 0
red | triangle | 0
yellow | triangle | 1
yellow | square | 0
yellow | square | 1
yellow | circle | 1
yellow | triangle | 1
yellow | triangle | 1
blue | circle | 0
yellow | triangle | 0
yellow | circle | 1
green | square | 1
red | triangle | 1
red | triangle | 0
yellow | circle | 1
yellow | triangle | 1
red | circle | 1
yellow | square | 0
yellow | triangle | 0
yellow | triangle | 0",5,yellow,triangle,1,23
3010,hard,Count the entries that are green triangles with marker=1. Respond with a number only.,"green | circle | 0
green | triangle | 1
green | triangle | 1
yellow | square | 1
red | circle | 0
red | circle | 1
yellow | triangle | 0
green | square | 1
green | square | 1
green | square | 1
yellow | circle | 0
green | triangle | 1
red | triangle | 0
blue | circle | 1
yellow | square | 0
green | square | 1
red | triangle | 1
green | circle | 0
red | triangle | 0
yellow | triangle | 1
green | triangle | 1
red | circle | 0
green | triangle | 0
blue | square | 0
red | triangle | 0
green | triangle | 1
green | triangle | 0
yellow | square | 0
green | triangle | 1
green | circle | 1","Count the entries that are green triangles with marker=1. Respond with a number only.

green | circle | 0
green | triangle | 1
green | triangle | 1
yellow | square | 1
red | circle | 0
red | circle | 1
yellow | triangle | 0
green | square | 1
green | square | 1
green | square | 1
yellow | circle | 0
green | triangle | 1
red | triangle | 0
blue | circle | 1
yellow | square | 0
green | square | 1
red | triangle | 1
green | circle | 0
red | triangle | 0
yellow | triangle | 1
green | triangle | 1
red | circle | 0
green | triangle | 0
blue | square | 0
red | triangle | 0
green | triangle | 1
green | triangle | 0
yellow | square | 0
green | triangle | 1
green | circle | 1",6,green,triangle,1,30
3011,hard,Count the entries that are blue triangles with marker=0. Respond with a number only.,"yellow | circle | 1
yellow | triangle | 1
blue | triangle | 1
yellow | square | 1
yellow | square | 1
blue | triangle | 0
yellow | triangle | 1
red | triangle | 1
yellow | triangle | 1
yellow | circle | 1
blue | square | 0
red | triangle | 0
blue | square | 0
red | circle | 0
blue | square | 1
green | square | 0
green | square | 0
green | square | 1
green | triangle | 1
blue | triangle | 1
blue | circle | 1
green | triangle | 0
blue | triangle | 0
red | triangle | 1","Count the entries that are blue triangles with marker=0. Respond with a number only.

yellow | circle | 1
yellow | triangle | 1
blue | triangle | 1
yellow | square | 1
yellow | square | 1
blue | triangle | 0
yellow | triangle | 1
red | triangle | 1
yellow | triangle | 1
yellow | circle | 1
blue | square | 0
red | triangle | 0
blue | square | 0
red | circle | 0
blue | square | 1
green | square | 0
green | square | 0
green | square | 1
green | triangle | 1
blue | triangle | 1
blue | circle | 1
green | triangle | 0
blue | triangle | 0
red | triangle | 1",2,blue,triangle,0,24
3012,hard,Count the entries that are green circles with marker=1. Respond with a number only.,"green | triangle | 0
green | circle | 1
green | circle | 1
red | triangle | 1
blue | triangle | 0
blue | square | 0
blue | circle | 1
green | circle | 0
green | square | 0
green | square | 0
blue | triangle | 1
green | circle | 0
green | square | 1
green | square | 1
green | circle | 1
red | triangle | 0
yellow | circle | 1
yellow | triangle | 0
red | square | 0
yellow | triangle | 0
green | circle | 1
green | triangle | 0
green | circle | 0
yellow | square | 0
blue | circle | 1","Count the entries that are green circles with marker=1. Respond with a number only.

green | triangle | 0
green | circle | 1
green | circle | 1
red | triangle | 1
blue | triangle | 0
blue | square | 0
blue | circle | 1
green | circle | 0
green | square | 0
green | square | 0
blue | triangle | 1
green | circle | 0
green | square | 1
green | square | 1
green | circle | 1
red | triangle | 0
yellow | circle | 1
yellow | triangle | 0
red | square | 0
yellow | triangle | 0
green | circle | 1
green | triangle | 0
green | circle | 0
yellow | square | 0
blue | circle | 1",4,green,circle,1,25
3013,hard,Count the entries that are yellow triangles with marker=0. Respond with a number only.,"blue | triangle | 1
red | triangle | 0
red | circle | 0
red | triangle | 0
yellow | triangle | 0
blue | circle | 0
yellow | triangle | 1
yellow | square | 1
blue | triangle | 1
green | circle | 1
blue | triangle | 0
blue | square | 1
yellow | square | 1
yellow | triangle | 0
blue | triangle | 0
yellow | triangle | 1
blue | triangle | 0
yellow | circle | 0
yellow | triangle | 0
blue | square | 0
green | circle | 1
yellow | circle | 0","Count the entries that are yellow triangles with marker=0. Respond with a number only.

blue | triangle | 1
red | triangle | 0
red | circle | 0
red | triangle | 0
yellow | triangle | 0
blue | circle | 0
yellow | triangle | 1
yellow | square | 1
blue | triangle | 1
green | circle | 1
blue | triangle | 0
blue | square | 1
yellow | square | 1
yellow | triangle | 0
blue | triangle | 0
yellow | triangle | 1
blue | triangle | 0
yellow | circle | 0
yellow | triangle | 0
blue | square | 0
green | circle | 1
yellow | circle | 0",3,yellow,triangle,0,22
3014,hard,Count the entries that are red triangles with marker=0. Respond with a number only.,"green | triangle | 0
green | triangle | 1
red | square | 0
red | triangle | 0
yellow | square | 1
red | triangle | 1
red | triangle | 1
yellow | circle | 1
blue | square | 0
green | triangle | 1
blue | triangle | 1
red | square | 0
yellow | triangle | 0
red | square | 1
red | triangle | 0
red | triangle | 0
red | circle | 1
green | square | 1
green | triangle | 0
green | circle | 1
yellow | square | 1
red | triangle | 0
blue | circle | 1","Count the entries that are red triangles with marker=0. Respond with a number only.

green | triangle | 0
green | triangle | 1
red | square | 0
red | triangle | 0
yellow | square | 1
red | triangle | 1
red | triangle | 1
yellow | circle | 1
blue | square | 0
green | triangle | 1
blue | triangle | 1
red | square | 0
yellow | triangle | 0
red | square | 1
red | triangle | 0
red | triangle | 0
red | circle | 1
green | square | 1
green | triangle | 0
green | circle | 1
yellow | square | 1
red | triangle | 0
blue | circle | 1",4,red,triangle,0,23
3015,hard,Count the entries that are green circles with marker=0. Respond with a number only.,"yellow | triangle | 1
green | square | 0
blue | square | 1
blue | triangle | 1
yellow | circle | 0
yellow | square | 0
red | circle | 1
green | circle | 0
blue | circle | 0
green | circle | 0
blue | circle | 0
green | triangle | 1
green | circle | 0
green | circle | 0
green | triangle | 1
blue | triangle | 0
green | circle | 0
green | triangle | 0
green | circle | 1
red | triangle | 0
green | triangle | 0
green | circle | 1
blue | circle | 1
green | circle | 1
red | triangle | 0
red | circle | 0
green | triangle | 1
green | circle | 1
green | triangle | 1","Count the entries that are green circles with marker=0. Respond with a number only.

yellow | triangle | 1
green | square | 0
blue | square | 1
blue | triangle | 1
yellow | circle | 0
yellow | square | 0
red | circle | 1
green | circle | 0
blue | circle | 0
green | circle | 0
blue | circle | 0
green | triangle | 1
green | circle | 0
green | circle | 0
green | triangle | 1
blue | triangle | 0
green | circle | 0
green | triangle | 0
green | circle | 1
red | triangle | 0
green | triangle | 0
green | circle | 1
blue | circle | 1
green | circle | 1
red | triangle | 0
red | circle | 0
green | triangle | 1
green | circle | 1
green | triangle | 1",5,green,circle,0,29
3016,hard,Count the entries that are green circles with marker=1. Respond with a number only.,"blue | circle | 1
red | circle | 1
blue | circle | 1
green | circle | 0
green | triangle | 1
yellow | circle | 0
red | triangle | 0
green | circle | 1
yellow | circle | 1
red | triangle | 1
blue | square | 0
red | circle | 0
green | circle | 0
yellow | square | 1
yellow | square | 1
green | circle | 1
red | triangle | 1
red | square | 0
green | triangle | 0
green | circle | 1
green | square | 0
blue | circle | 0
green | triangle | 1","Count the entries that are green circles with marker=1. Respond with a number only.

blue | circle | 1
red | circle | 1
blue | circle | 1
green | circle | 0
green | triangle | 1
yellow | circle | 0
red | triangle | 0
green | circle | 1
yellow | circle | 1
red | triangle | 1
blue | square | 0
red | circle | 0
green | circle | 0
yellow | square | 1
yellow | square | 1
green | circle | 1
red | triangle | 1
red | square | 0
green | triangle | 0
green | circle | 1
green | square | 0
blue | circle | 0
green | triangle | 1",3,green,circle,1,23
3017,hard,Count the entries that are yellow circles with marker=0. Respond with a number only.,"red | triangle | 1
green | triangle | 1
blue | square | 0
yellow | triangle | 0
blue | square | 0
yellow | circle | 0
red | circle | 1
yellow | triangle | 1
red | circle | 1
red | triangle | 1
yellow | circle | 0
blue | circle | 1
yellow | triangle | 0
yellow | circle | 0
green | square | 0
yellow | circle | 0
yellow | circle | 1
yellow | triangle | 1
yellow | circle | 0
yellow | circle | 0
yellow | circle | 1
blue | square | 0
red | square | 1
yellow | circle | 1
yellow | square | 0
red | circle | 0
red | circle | 0","Count the entries that are yellow circles with marker=0. Respond with a number only.

red | triangle | 1
green | triangle | 1
blue | square | 0
yellow | triangle | 0
blue | square | 0
yellow | circle | 0
red | circle | 1
yellow | triangle | 1
red | circle | 1
red | triangle | 1
yellow | circle | 0
blue | circle | 1
yellow | triangle | 0
yellow | circle | 0
green | square | 0
yellow | circle | 0
yellow | circle | 1
yellow | triangle | 1
yellow | circle | 0
yellow | circle | 0
yellow | circle | 1
blue | square | 0
red | square | 1
yellow | circle | 1
yellow | square | 0
red | circle | 0
red | circle | 0",6,yellow,circle,0,27
3018,hard,Count the entries that are yellow circles with marker=1. Respond with a number only.,"yellow | square | 1
red | triangle | 0
blue | triangle | 1
blue | triangle | 1
red | square | 1
yellow | triangle | 0
blue | circle | 0
yellow | square | 0
yellow | circle | 1
yellow | circle | 1
yellow | circle | 0
yellow | circle | 1
red | circle | 1
blue | circle | 1
yellow | square | 1
green | circle | 0
yellow | square | 0
red | circle | 0
blue | circle | 1
green | square | 0
green | circle | 0
yellow | circle | 0","Count the entries that are yellow circles with marker=1. Respond with a number only.

yellow | square | 1
red | triangle | 0
blue | triangle | 1
blue | triangle | 1
red | square | 1
yellow | triangle | 0
blue | circle | 0
yellow | square | 0
yellow | circle | 1
yellow | circle | 1
yellow | circle | 0
yellow | circle | 1
red | circle | 1
blue | circle | 1
yellow | square | 1
green | circle | 0
yellow | square | 0
red | circle | 0
blue | circle | 1
green | square | 0
green | circle | 0
yellow | circle | 0",3,yellow,circle,1,22
3019,hard,Count the entries that are green squares with marker=0. Respond with a number only.,"yellow | square | 1
blue | square | 0
green | circle | 1
yellow | triangle | 0
red | square | 0
yellow | square | 1
blue | square | 0
green | square | 0
green | square | 1
green | circle | 0
green | square | 0
blue | square | 0
green | square | 1
yellow | circle | 0
yellow | square | 0
green | triangle | 1
red | square | 0
yellow | circle | 1
blue | triangle | 1
yellow | circle | 0
yellow | triangle | 1
red | circle | 1
green | triangle | 0
red | circle | 0
yellow | square | 0
red | square | 1
yellow | square | 1
green | circle | 1
yellow | square | 0
green | triangle | 0","Count the entries that are green squares with marker=0. Respond with a number only.

yellow | square | 1
blue | square | 0
green | circle | 1
yellow | triangle | 0
red | square | 0
yellow | square | 1
blue | square | 0
green | square | 0
green | square | 1
green | circle | 0
green | square | 0
blue | square | 0
green | square | 1
yellow | circle | 0
yellow | square | 0
green | triangle | 1
red | square | 0
yellow | circle | 1
blue | triangle | 1
yellow | circle | 0
yellow | triangle | 1
red | circle | 1
green | triangle | 0
red | circle | 0
yellow | square | 0
red | square | 1
yellow | square | 1
green | circle | 1
yellow | square | 0
green | triangle | 0",2,green,square,0,30
